300,611690884,2018-06-15 20:32,Hurricane Jack
400,611712888,2018-06-15 21:01,Jarl
425,611702296,2018-06-15 21:02,Hurricane Jack
450,611710066,2018-06-15 21:04,Mills and Hills
425,611731275,2018-06-15 21:31,Jarl
425,611756054,2018-06-15 22:01,Jarl
400,611743803,2018-06-15 22:04,Mills and Hills
375,611748870,2018-06-15 22:07,Ragnarok
300,611779459,2018-06-15 22:37,Ragnarok
450,611834562,2018-06-15 23:34,Mills and Hills
375,611815817,2018-06-15 23:35,Highlander
450,612070232,2018-06-16 11:04,Mills and Hills
300,612075669,2018-06-16 12:05,Highlander
275,612093286,2018-06-16 13:01,Jarl
375,612096670,2018-06-16 13:32,Hurricane Jack
450,612109825,2018-06-16 14:04,Mills and Hills
375,612104281,2018-06-16 14:06,Sanda Blonde
375,612114937,2018-06-16 14:32,Avalanche
400,612141147,2018-06-16 15:31,Jarl
400,612138864,2018-06-16 15:34,Mills and Hills
375,612135508,2018-06-16 15:37,Ragnarok
325,612157842,2018-06-16 16:01,Jarl
300,612152485,2018-06-16 16:02,Avalanche
350,612160929,2018-06-16 16:06,Sanda Blonde
400,612172431,2018-06-16 16:31,Jarl
400,612190763,2018-06-16 17:01,Jarl
350,612233059,2018-06-16 18:01,Jarl
400,612253556,2018-06-16 18:02,Hurricane Jack
400,612249634,2018-06-16 18:05,Highlander
400,612244347,2018-06-16 18:07,Ragnarok
350,612277406,2018-06-16 18:31,Jarl
400,612278201,2018-06-16 18:35,Highlander
275,612343128,2018-06-16 19:31,Jarl
275,612347540,2018-06-16 20:01,Jarl
300,612359247,2018-06-16 20:05,Vital Spark
350,612388042,2018-06-16 20:31,Jarl
350,612449323,2018-06-16 21:05,Vital Spark
300,612459780,2018-06-16 21:31,Jarl
350,612479473,2018-06-16 21:32,Avalanche
350,612453254,2018-06-16 21:35,Vital Spark
400,612477250,2018-06-16 21:37,Ragnarok
350,612504394,2018-06-16 22:05,Highlander
325,612545693,2018-06-16 22:35,Vital Spark
100,612545273,2018-06-16 22:36,Sanda Blonde
350,612526772,2018-06-16 22:37,Ragnarok
400,612563461,2018-06-16 23:01,Jarl
325,612566687,2018-06-16 23:02,Avalanche
325,612566780,2018-06-16 23:05,Highlander
